user_id,edition_id,chapter_id,percent,event_class,event_obj_id,event_type,event_info,device,version,timezone,country,edition_language,offline,created_at,updated_at
2142501,2895397,,,Edition,2895397,more,,"Mozilla/5.0 (Linux; Android 9; SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:26:59.283Z,2019-12-10T13:27:00.202Z
2142503,2895397,,,Edition,2895397,view,"{""position"":""0"",""screen_width"":""1393"",""list_type"":""grid""}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15",web,0,,en,0,2019-12-10T13:27:00.796Z,2019-12-10T13:27:05.165Z
2142503,2895397,,,Edition,2895397,more,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15",web,0,,en,0,2019-12-10T13:27:18.814Z,2019-12-10T13:27:20.277Z
2142503,2895389,,,Edition,2895389,view,"{""position"":""1"",""screen_width"":""1393"",""list_type"":""grid""}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15",web,0,,en,0,2019-12-10T13:27:31.286Z,2019-12-10T13:27:35.390Z
2142503,2895389,,,Edition,2895389,more,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15",web,0,,en,0,2019-12-10T13:27:41.126Z,2019-12-10T13:27:45.561Z
2142422,2895397,,,Edition,2895397,view,"{""position"":""3"",""screen_width"":""375.0"",""list_type"":""grid""}",Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:27:41.815Z,2019-12-10T13:27:45.612Z
2142422,2895397,,,Edition,2895397,more,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:27:48.084Z,2019-12-10T13:27:50.670Z
2142422,2895397,,,Edition,2895397,more,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:27:48.528Z,2019-12-10T13:27:50.761Z
2142351,2895401,,,Edition,2895401,view,"{""position"":""0"",""screen_width"":""1280"",""list_type"":""grid""}","Mozilla/5.0 (Linux; Android 5.1.1; KFSUWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/78.4.6 like Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:27:55.403Z,2019-12-10T13:27:55.804Z
2142422,2895398,,,Edition,2895398,view,"{""position"":""0"",""screen_width"":""375.0"",""list_type"":""grid""}",Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:28:06.723Z,2019-12-10T13:28:10.901Z
2142351,2895401,,,Edition,2895401,more,,"Mozilla/5.0 (Linux; Android 5.1.1; KFSUWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/78.4.6 like Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:28:11.574Z,2019-12-10T13:28:15.895Z
